target,method,smape_percent,rf_weight,lgb_weight,lag_method,lag_weight,rf_weight_in_other_part
Q0_OPERATING_EXPENSES,lag_mean_q1_q4_w0.25_plus_rf_lgb,14.081430652907217,,,mean_q1_q4,0.25,0.0
Q0_OPERATING_EXPENSES,rf_lgb_rf_weight_0.25,14.349746279176836,0.25,0.75,,,
Q0_OPERATING_EXPENSES,hist_gradient_boosting,14.83082728589807,,,,,
Q0_OPERATING_EXPENSES,rf_lgb_rf_weight_0.50,17.631443310606958,0.5,0.5,,,
Q0_OPERATING_EXPENSES,lag_q1_w0.50_plus_rf_lgb,17.657815567429655,,,q1,0.5,0.0
Q0_OPERATING_EXPENSES,lag_mean_q1_q2_w0.50_plus_rf_lgb,17.739045111185224,,,mean_q1_q2,0.5,0.0
Q0_OPERATING_EXPENSES,lag_weighted_q1_q4_w0.50_plus_rf_lgb,17.74071012872436,,,weighted_q1_q4,0.5,0.0
Q0_OPERATING_EXPENSES,lag_mean_q1_q4_w0.50_plus_rf_lgb,18.518696540850975,,,mean_q1_q4,0.5,0.0
Q0_OPERATING_EXPENSES,rf_lgb_rf_weight_0.75,21.264673307042443,0.75,0.25,,,
Q0_OPERATING_EXPENSES,lag_weighted_q1_q4_w0.75_plus_rf_lgb,23.116037398304226,,,weighted_q1_q4,0.75,0.0
Q0_OPERATING_EXPENSES,lag_q1_w0.75_plus_rf_lgb,23.14289748714171,,,q1,0.75,0.0
Q0_OPERATING_EXPENSES,lag_mean_q1_q2_w0.75_plus_rf_lgb,23.21945803251201,,,mean_q1_q2,0.75,0.0
Q0_OPERATING_EXPENSES,lag_mean_q1_q4_w0.75_plus_rf_lgb,24.292604567598083,,,mean_q1_q4,0.75,0.0
Q0_OPERATING_EXPENSES,rf_lgb_rf_weight_1.00,25.181392248629823,1.0,0.0,,,
Q0_OPERATING_EXPENSES,lag_weighted_q1_q4,30.48202271155105,,,weighted_q1_q4,1.0,
Q0_OPERATING_EXPENSES,lag_mean_q1_q2,31.11705026428682,,,mean_q1_q2,1.0,
Q0_OPERATING_EXPENSES,lag_q1,31.129751476916596,,,q1,1.0,
Q0_OPERATING_EXPENSES,lag_mean_q1_q4,31.782171733483978,,,mean_q1_q4,1.0,
Q0_OPERATING_INCOME,lightgbm_arcsinh_lag,51.84160717687122,,,,,
Q0_OPERATING_INCOME,rf_lgb_rf_weight_0.25,58.95118298969073,0.25,0.75,,,
Q0_OPERATING_INCOME,lightgbm_raw_lag,59.0032550737048,,,,,
Q0_OPERATING_INCOME,rf_lgb_rf_weight_0.00,59.49138342338382,0.0,1.0,,,
Q0_OPERATING_INCOME,rf_lgb_rf_weight_0.50,60.72226913364811,0.5,0.5,,,
Q0_OPERATING_INCOME,hist_gradient_boosting,60.7564321894122,,,,,
Q0_OPERATING_INCOME,lag_weighted_q1_q4_w0.25_plus_rf_lgb,61.25568143791592,,,weighted_q1_q4,0.25,0.25
Q0_OPERATING_INCOME,lag_mean_q1_q2_w0.25_plus_rf_lgb,61.38415486238533,,,mean_q1_q2,0.25,0.25
Q0_OPERATING_INCOME,lag_q1_w0.25_plus_rf_lgb,61.434429255823076,,,q1,0.25,0.25
Q0_OPERATING_INCOME,lag_mean_q1_q4_w0.25_plus_rf_lgb,61.7746722842743,,,mean_q1_q4,0.25,0.25
Q0_OPERATING_INCOME,rf_lgb_rf_weight_0.75,63.967163249718794,0.75,0.25,,,
Q0_OPERATING_INCOME,rf_lgb_rf_weight_1.00,68.33463833160368,1.0,0.0,,,
Q0_OPERATING_INCOME,lag_weighted_q1_q4_w0.50_plus_rf_lgb,70.78949280852407,,,weighted_q1_q4,0.5,0.25
Q0_OPERATING_INCOME,lag_mean_q1_q2_w0.50_plus_rf_lgb,71.2188451189208,,,mean_q1_q2,0.5,0.25
Q0_OPERATING_INCOME,lag_q1_w0.50_plus_rf_lgb,71.46667992372103,,,q1,0.5,0.25
Q0_OPERATING_INCOME,lag_mean_q1_q4_w0.50_plus_rf_lgb,71.70940671933475,,,mean_q1_q4,0.5,0.25
Q0_OPERATING_INCOME,lag_weighted_q1_q4_w0.75_plus_rf_lgb,84.92197618367933,,,weighted_q1_q4,0.75,0.25
Q0_OPERATING_INCOME,lag_mean_q1_q4_w0.75_plus_rf_lgb,85.38660096619205,,,mean_q1_q4,0.75,0.25
Q0_OPERATING_INCOME,lag_mean_q1_q2_w0.75_plus_rf_lgb,85.42055249329186,,,mean_q1_q2,0.75,0.25
Q0_OPERATING_INCOME,lag_q1_w0.75_plus_rf_lgb,86.40131840536814,,,q1,0.75,0.25
Q0_OPERATING_INCOME,lag_mean_q1_q4,101.9373179911526,,,mean_q1_q4,1.0,
Q0_OPERATING_INCOME,lag_weighted_q1_q4,102.95930780605119,,,weighted_q1_q4,1.0,
Q0_OPERATING_INCOME,lag_mean_q1_q2,104.154619707549,,,mean_q1_q2,1.0,
Q0_OPERATING_INCOME,lag_q1,105.91112741631801,,,q1,1.0,
Q0_REVENUES,lag_q1_w0.75_plus_rf_lgb,17.669817052560465,,,q1,0.75,0.0
Q0_REVENUES,lag_q1_w0.50_plus_rf_lgb,17.92930729552962,,,q1,0.5,0.0
Q0_REVENUES,lag_q1,17.99916431944057,,,q1,1.0,
Q0_REVENUES,lag_q1_w0.25_plus_rf_lgb,18.557599570084147,,,q1,0.25,0.0
Q0_REVENUES,lag_mean_q1_q2_w0.25_plus_rf_lgb,19.179112679095063,,,mean_q1_q2,0.25,0.0
Q0_REVENUES,lag_weighted_q1_q4_w0.25_plus_rf_lgb,19.35001285093748,,,weighted_q1_q4,0.25,0.0
Q0_REVENUES,lag_mean_q1_q2_w0.50_plus_rf_lgb,19.40523185659745,,,mean_q1_q2,0.5,0.0
Q0_REVENUES,rf_lgb_rf_weight_0.00,19.744757839862064,0.0,1.0,,,
Q0_REVENUES,lag_weighted_q1_q4_w0.50_plus_rf_lgb,19.93013840374177,,,weighted_q1_q4,0.5,0.0
Q0_REVENUES,lag_mean_q1_q2_w0.75_plus_rf_lgb,20.066320627307725,,,mean_q1_q2,0.75,0.0
Q0_REVENUES,rf_lgb_rf_weight_0.25,20.56972475773539,0.25,0.75,,,
Q0_REVENUES,lag_mean_q1_q4_w0.25_plus_rf_lgb,20.772514371077165,,,mean_q1_q4,0.25,0.0
Q0_REVENUES,lag_weighted_q1_q4_w0.75_plus_rf_lgb,21.07922838555595,,,weighted_q1_q4,0.75,0.0
Q0_REVENUES,hist_gradient_boosting,21.21195203479598,,,,,
Q0_REVENUES,lag_mean_q1_q2,21.263478478274525,,,mean_q1_q2,1.0,
Q0_REVENUES,rf_lgb_rf_weight_0.50,22.52173670131806,0.5,0.5,,,
Q0_REVENUES,lag_weighted_q1_q4,22.75622812881492,,,weighted_q1_q4,1.0,
Q0_REVENUES,lag_mean_q1_q4_w0.50_plus_rf_lgb,23.11460468696485,,,mean_q1_q4,0.5,0.0
Q0_REVENUES,rf_lgb_rf_weight_0.75,24.740063148314732,0.75,0.25,,,
Q0_REVENUES,lag_mean_q1_q4_w0.75_plus_rf_lgb,25.829849823102325,,,mean_q1_q4,0.75,0.0
Q0_REVENUES,rf_lgb_rf_weight_1.00,27.110998806253882,1.0,0.0,,,
Q0_REVENUES,lag_mean_q1_q4,28.879315255879657,,,mean_q1_q4,1.0,
Q0_TOTAL_ASSETS,rf_lgb_rf_weight_1.00,4.334836068512795,1.0,0.0,,,
Q0_TOTAL_ASSETS,rf_lgb_rf_weight_0.75,7.2851976488591195,0.75,0.25,,,
Q0_TOTAL_ASSETS,lag_q1_w0.25_plus_rf_lgb,9.550588787726506,,,q1,0.25,1.0
Q0_TOTAL_ASSETS,rf_lgb_rf_weight_0.50,10.079291306546505,0.5,0.5,,,
Q0_TOTAL_ASSETS,lag_mean_q1_q2_w0.25_plus_rf_lgb,10.823578320458106,,,mean_q1_q2,0.25,1.0
Q0_TOTAL_ASSETS,rf_lgb_rf_weight_0.25,12.624781608727275,0.25,0.75,,,
Q0_TOTAL_ASSETS,rf_lgb_rf_weight_0.00,14.986739460163909,0.0,1.0,,,
Q0_TOTAL_ASSETS,lag_weighted_q1_q4_w0.25_plus_rf_lgb,15.084055998192827,,,weighted_q1_q4,0.25,1.0
Q0_TOTAL_ASSETS,hist_gradient_boosting,18.06867010081767,,,,,
Q0_TOTAL_ASSETS,lag_q1_w0.50_plus_rf_lgb,18.596624429577886,,,q1,0.5,1.0
Q0_TOTAL_ASSETS,lag_mean_q1_q2_w0.50_plus_rf_lgb,21.7869901882693,,,mean_q1_q2,0.5,1.0
Q0_TOTAL_ASSETS,lag_mean_q1_q4_w0.25_plus_rf_lgb,23.580811006446908,,,mean_q1_q4,0.25,1.0
Q0_TOTAL_ASSETS,lag_q1_w0.75_plus_rf_lgb,28.164970930087186,,,q1,0.75,1.0
Q0_TOTAL_ASSETS,lag_weighted_q1_q4_w0.50_plus_rf_lgb,31.81572740104898,,,weighted_q1_q4,0.5,1.0
Q0_TOTAL_ASSETS,lag_mean_q1_q2_w0.75_plus_rf_lgb,35.92132570825364,,,mean_q1_q2,0.75,1.0
Q0_TOTAL_ASSETS,lag_q1,37.3019233798146,,,q1,1.0,
Q0_TOTAL_ASSETS,lag_mean_q1_q2,45.34366804447199,,,mean_q1_q2,1.0,
Q0_TOTAL_ASSETS,lag_weighted_q1_q4_w0.75_plus_rf_lgb,51.97261815712716,,,weighted_q1_q4,0.75,1.0
Q0_TOTAL_ASSETS,lag_mean_q1_q4_w0.50_plus_rf_lgb,52.97363863101934,,,mean_q1_q4,0.5,1.0
Q0_TOTAL_ASSETS,lag_weighted_q1_q4,73.84985678982433,,,weighted_q1_q4,1.0,
Q0_TOTAL_ASSETS,lag_mean_q1_q4_w0.75_plus_rf_lgb,91.72383267526853,,,mean_q1_q4,0.75,1.0
Q0_TOTAL_ASSETS,lag_mean_q1_q4,141.98341608916408,,,mean_q1_q4,1.0,
Q0_TOTAL_LIABILITIES,lag_q1_w0.25_plus_rf_lgb,9.822598267621562,,,q1,0.25,1.0
Q0_TOTAL_LIABILITIES,rf_lgb_rf_weight_1.00,9.903894567268598,1.0,0.0,,,
Q0_TOTAL_LIABILITIES,lag_q1,10.050773619630275,,,q1,1.0,
Q0_TOTAL_LIABILITIES,lag_q1_w0.75_plus_rf_lgb,10.28575994744762,,,q1,0.75,1.0
Q0_TOTAL_LIABILITIES,lag_q1_w0.50_plus_rf_lgb,10.297720828131531,,,q1,0.5,1.0
Q0_TOTAL_LIABILITIES,rf_lgb_rf_weight_0.75,11.229909273782367,0.75,0.25,,,
Q0_TOTAL_LIABILITIES,lag_mean_q1_q2_w0.25_plus_rf_lgb,11.331230083310913,,,mean_q1_q2,0.25,1.0
Q0_TOTAL_LIABILITIES,lag_weighted_q1_q4_w0.25_plus_rf_lgb,12.589879898444556,,,weighted_q1_q4,0.25,1.0
Q0_TOTAL_LIABILITIES,rf_lgb_rf_weight_0.50,12.895122081127935,0.5,0.5,,,
Q0_TOTAL_LIABILITIES,rf_lgb_rf_weight_0.25,14.687103629463413,0.25,0.75,,,
Q0_TOTAL_LIABILITIES,lag_mean_q1_q2_w0.50_plus_rf_lgb,15.094479820812548,,,mean_q1_q2,0.5,1.0
Q0_TOTAL_LIABILITIES,rf_lgb_rf_weight_0.00,16.698350415454616,0.0,1.0,,,
Q0_TOTAL_LIABILITIES,lag_mean_q1_q2_w0.75_plus_rf_lgb,19.840020009422492,,,mean_q1_q2,0.75,1.0
Q0_TOTAL_LIABILITIES,hist_gradient_boosting,19.86619620263949,,,,,
Q0_TOTAL_LIABILITIES,lag_mean_q1_q2,20.203612636421347,,,mean_q1_q2,1.0,
Q0_TOTAL_LIABILITIES,lag_weighted_q1_q4_w0.50_plus_rf_lgb,20.552151584243525,,,weighted_q1_q4,0.5,1.0
Q0_TOTAL_LIABILITIES,lag_mean_q1_q4_w0.25_plus_rf_lgb,21.107481521626745,,,mean_q1_q4,0.25,1.0
Q0_TOTAL_LIABILITIES,lag_weighted_q1_q4_w0.75_plus_rf_lgb,31.288106282312704,,,weighted_q1_q4,0.75,1.0
Q0_TOTAL_LIABILITIES,lag_weighted_q1_q4,43.62813036348967,,,weighted_q1_q4,1.0,
Q0_TOTAL_LIABILITIES,lag_mean_q1_q4_w0.50_plus_rf_lgb,44.373200219402435,,,mean_q1_q4,0.5,1.0
Q0_TOTAL_LIABILITIES,lag_mean_q1_q4_w0.75_plus_rf_lgb,76.46091615666894,,,mean_q1_q4,0.75,1.0
Q0_TOTAL_LIABILITIES,lag_mean_q1_q4,117.73653937583866,,,mean_q1_q4,1.0,
Q0_TOTAL_STOCKHOLDERS_EQUITY,rf_lgb_rf_weight_1.00,10.438126002825102,1.0,0.0,,,
Q0_TOTAL_STOCKHOLDERS_EQUITY,rf_lgb_rf_weight_0.75,13.01095706009296,0.75,0.25,,,
Q0_TOTAL_STOCKHOLDERS_EQUITY,rf_lgb_rf_weight_0.50,16.067841317694,0.5,0.5,,,
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_q1_w0.25_plus_rf_lgb,18.283895777363078,,,q1,0.25,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,rf_lgb_rf_weight_0.25,18.8277784916905,0.25,0.75,,,
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_mean_q1_q2_w0.25_plus_rf_lgb,19.126480871324183,,,mean_q1_q2,0.25,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,rf_lgb_rf_weight_0.00,21.452983326390946,0.0,1.0,,,
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_weighted_q1_q4_w0.25_plus_rf_lgb,22.356396331881808,,,weighted_q1_q4,0.25,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,hist_gradient_boosting,24.08073630614802,,,,,
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_mean_q1_q4_w0.25_plus_rf_lgb,28.44406141823074,,,mean_q1_q4,0.25,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_q1_w0.50_plus_rf_lgb,33.444811968244835,,,q1,0.5,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_mean_q1_q2_w0.50_plus_rf_lgb,35.338220152269315,,,mean_q1_q2,0.5,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_weighted_q1_q4_w0.50_plus_rf_lgb,43.6990388978558,,,weighted_q1_q4,0.5,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_q1_w0.75_plus_rf_lgb,53.7705042592753,,,q1,0.75,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_mean_q1_q2_w0.75_plus_rf_lgb,57.89895339644674,,,mean_q1_q2,0.75,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_mean_q1_q4_w0.50_plus_rf_lgb,59.80908061784959,,,mean_q1_q4,0.5,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_weighted_q1_q4_w0.75_plus_rf_lgb,72.44184730688232,,,weighted_q1_q4,0.75,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_q1,75.54958700819243,,,q1,1.0,
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_mean_q1_q2,80.66527742958371,,,mean_q1_q2,1.0,
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_mean_q1_q4_w0.75_plus_rf_lgb,103.56128876827685,,,mean_q1_q4,0.75,1.0
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_weighted_q1_q4,106.2640490235901,,,weighted_q1_q4,1.0,
Q0_TOTAL_STOCKHOLDERS_EQUITY,lag_mean_q1_q4,159.62665852593935,,,mean_q1_q4,1.0,
