model,target,derived_formula,direct_weight,smape_percent
lightgbm,Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.5,53.4856886488167
lightgbm,Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.75,56.05976102082081
lightgbm,Q0_OPERATING_INCOME,gross_profit_minus_expenses,1.0,59.49138342338382
lightgbm,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.0,21.919282904331908
lightgbm,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.25,19.323350253147815
lightgbm,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.5,16.749791254329065
lightgbm,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.75,14.331451898234205
lightgbm,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,1.0,12.493592507048819
hist_gradient_boosting,Q0_TOTAL_ASSETS,liabilities_plus_equity,0.0,19.761328228658396
hist_gradient_boosting,Q0_TOTAL_ASSETS,liabilities_plus_equity,0.25,19.07785472245213
hist_gradient_boosting,Q0_TOTAL_ASSETS,liabilities_plus_equity,0.5,18.542635794339642
hist_gradient_boosting,Q0_TOTAL_ASSETS,liabilities_plus_equity,0.75,18.19991470206447
hist_gradient_boosting,Q0_TOTAL_ASSETS,liabilities_plus_equity,1.0,18.06867010081767
hist_gradient_boosting,Q0_TOTAL_LIABILITIES,assets_minus_equity,0.0,23.29925030814706
hist_gradient_boosting,Q0_TOTAL_LIABILITIES,assets_minus_equity,0.25,21.47745483952383
hist_gradient_boosting,Q0_TOTAL_LIABILITIES,assets_minus_equity,0.5,20.150972278621484
hist_gradient_boosting,Q0_TOTAL_LIABILITIES,assets_minus_equity,0.75,19.522586179952473
hist_gradient_boosting,Q0_TOTAL_LIABILITIES,assets_minus_equity,1.0,19.86619620263949
hist_gradient_boosting,Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,0.0,22.139447389115208
hist_gradient_boosting,Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,0.25,22.00520794395011
hist_gradient_boosting,Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,0.5,22.34477973809232
hist_gradient_boosting,Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,0.75,23.05574547791452
hist_gradient_boosting,Q0_TOTAL_STOCKHOLDERS_EQUITY,assets_minus_liabilities,1.0,24.08073630614802
hist_gradient_boosting,Q0_REVENUES,gross_profit_plus_cost,0.0,22.855295289189588
hist_gradient_boosting,Q0_REVENUES,gross_profit_plus_cost,0.25,22.037888121894692
hist_gradient_boosting,Q0_REVENUES,gross_profit_plus_cost,0.5,21.48010872352724
hist_gradient_boosting,Q0_REVENUES,gross_profit_plus_cost,0.75,21.191243019126173
hist_gradient_boosting,Q0_REVENUES,gross_profit_plus_cost,1.0,21.21195203479598
hist_gradient_boosting,Q0_GROSS_PROFIT,revenues_minus_cost,0.0,37.94135372729946
hist_gradient_boosting,Q0_GROSS_PROFIT,revenues_minus_cost,0.25,36.255847864473104
hist_gradient_boosting,Q0_GROSS_PROFIT,revenues_minus_cost,0.5,35.487289003243305
hist_gradient_boosting,Q0_GROSS_PROFIT,revenues_minus_cost,0.75,35.44620398595132
hist_gradient_boosting,Q0_GROSS_PROFIT,revenues_minus_cost,1.0,36.47380241902604
hist_gradient_boosting,Q0_GROSS_PROFIT,operating_income_plus_expenses,0.0,47.269351745101154
hist_gradient_boosting,Q0_GROSS_PROFIT,operating_income_plus_expenses,0.25,40.729745760595705
hist_gradient_boosting,Q0_GROSS_PROFIT,operating_income_plus_expenses,0.5,35.44555873322529
hist_gradient_boosting,Q0_GROSS_PROFIT,operating_income_plus_expenses,0.75,34.744233149292604
hist_gradient_boosting,Q0_GROSS_PROFIT,operating_income_plus_expenses,1.0,36.47380241902604
hist_gradient_boosting,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.0,30.0587601863549
hist_gradient_boosting,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.25,27.648063274154765
hist_gradient_boosting,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.5,25.70127533917532
hist_gradient_boosting,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.75,24.59360704070761
hist_gradient_boosting,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,1.0,24.829885248637996
hist_gradient_boosting,Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.0,56.52373028598253
hist_gradient_boosting,Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.25,53.57313837878435
hist_gradient_boosting,Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.5,55.01749657614992
hist_gradient_boosting,Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.75,57.568831401592014
hist_gradient_boosting,Q0_OPERATING_INCOME,gross_profit_minus_expenses,1.0,60.7564321894122
hist_gradient_boosting,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.0,23.209298878757437
hist_gradient_boosting,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.25,20.75812601670928
hist_gradient_boosting,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.5,18.430524753778776
hist_gradient_boosting,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,0.75,16.361626169557333
hist_gradient_boosting,Q0_OPERATING_EXPENSES,gross_profit_minus_operating_income,1.0,14.83082728589807
